pullRequest_id,tag,what,when,tangled
48079,Foster code reuse,Combination of refactorings,Original intent,No
48002,Foster code reuse,EXTRACT_AND_MOVE_OPERATION,Original intent,No
47569,Foster code reuse,EXTRACT_AND_MOVE_OPERATION,Original intent,No
47667,Foster code reuse,EXTRACT_AND_MOVE_OPERATION,Original intent,No
47774,Foster code reuse,EXTRACT_CLASS,Original intent,No
48013,Foster code reuse,EXTRACT_INTERFACE,Original intent,No
47273,Foster code reuse,EXTRACT_INTERFACE,Original intent,Yes
47662,Foster code reuse,EXTRACT_OPERATION,Original intent,Yes
47647,Foster code reuse,EXTRACT_OPERATION,Original intent,Yes
48062,Foster code reuse,EXTRACT_OPERATION,Original intent,Yes
47799,Foster code reuse,EXTRACT_OPERATION,Original intent,No
47443,Foster code reuse,EXTRACT_OPERATION,Original intent,No
47351,Foster code reuse,EXTRACT_OPERATION,Collateral,No
47449,Foster code reuse,EXTRACT_OPERATION,Original intent,Yes
47462,Foster code reuse,EXTRACT_OPERATION,Original intent,Yes
47387,Foster code reuse,EXTRACT_OPERATION,Collateral,No
47312,Foster code reuse,EXTRACT_OPERATION,After discussion,Yes
47379,Foster code reuse,EXTRACT_OPERATION,After discussion,Yes
48015,Foster code reuse,EXTRACT_OPERATION,Original intent,Yes
48034,Foster code reuse,EXTRACT_OPERATION,Original intent,No
48080,Foster code reuse,EXTRACT_OPERATION,After discussion,Yes
48060,Foster code reuse,EXTRACT_OPERATION,After discussion,Yes
47333,Foster code reuse,EXTRACT_OPERATION,Original intent,Yes
47290,Foster code reuse,EXTRACT_OPERATION,After discussion,Yes
47738,Foster code reuse,EXTRACT_OPERATION,Original intent,Yes
47315,Foster code reuse,EXTRACT_OPERATION,Original intent,Yes
47473,Foster code reuse,EXTRACT_OPERATION,After discussion,Yes
47689,Foster code reuse,EXTRACT_SUBCLASS,Original intent,Yes
48069,Foster code reuse,EXTRACT_VARIABLE,Collateral,Yes
47631,Foster code reuse,EXTRACT_VARIABLE,After discussion,Yes
47638,Foster code reuse,EXTRACT_VARIABLE,After discussion,Yes
47504,Foster code reuse,EXTRACT_VARIABLE,Original intent,No
47636,Foster code reuse,MOVE_CLASS,Original intent,Yes
47434,Foster code reuse,MOVE_OPERATION,Original intent,No
47999,Foster code reuse,REPLACE_VARIABLE_WITH_ATTRIBUTE,After discussion,No
47617,Improve Code design,Combination of refactorings,After discussion,Yes
47282,Improve Code design,Combination of refactorings,Original intent,Yes
47742,Improve Code design,Combination of refactorings,Original intent,Yes
48051,Improve Encapsulation,Combination of refactorings,Original intent,Yes
47627,Improve Encapsulation,Combination of refactorings,After discussion,Yes
47727,Improve error messages and logging,Combination of refactorings,After discussion,Yes
47469,Improve error messages and logging,Combination of refactorings,Original intent,Yes
47606,Improve error messages and logging,Combination of refactorings,After discussion,Yes
47298,Improve error messages and logging,Combination of refactorings,Original intent,Yes
47576,Improve error messages and logging,Combination of refactorings,Original intent,Yes
47619,Improve error messages and logging,Combination of refactorings,After discussion,Yes
48025,Improve error messages and logging,Combination of refactorings,Original intent,Yes
47660,Improve error messages and logging,Combination of refactorings,After discussion,Yes
47788,Improve error messages and logging,Combination of refactorings,After discussion,Yes
47427,Improve error messages and logging,Combination of refactorings,After discussion,Yes
47627,Improve error messages and logging,Combination of refactorings,After discussion,Yes
48078,Improve error messages and logging,Combination of refactorings,Original intent,Yes
47302,Improve error messages and logging,Combination of refactorings,After discussion,Yes
47430,Improve error messages and logging,Combination of refactorings,After discussion,Yes
47533,Improve error messages and logging,Combination of refactorings,Original intent,Yes
47280,Improve error messages and logging,Combination of refactorings,After discussion,Yes
47271,Improve error messages and logging,Combination of refactorings,After discussion,Yes
48017,Improve error messages and logging,Combination of refactorings,Original intent,Yes
47636,Improve error messages and logging,Combination of refactorings,Original intent,Yes
48082,Improve error messages and logging,Combination of refactorings,Original intent,Yes
47765,Improve error messages and logging,EXTRACT_VARIABLE,Collateral,Yes
48071,Improve error messages and logging,INLINE_VARIABLE,After discussion,Yes
48026,Improve error messages and logging,MOVE_CLASS,Original intent,No
47408,Improve error messages and logging,MOVE_CLASS,After discussion,Yes
48026,Improve error messages and logging,MOVE_OPERATION,Original intent,No
47385,Improve error messages and logging,RENAME_ATTRIBUTE,Original intent,No
47385,Improve error messages and logging,RENAME_CLASS,Original intent,No
47727,Improve exception handling,Combination of refactorings,After discussion,Yes
47415,Improve exception handling,Combination of refactorings,After discussion,Yes
47355,Improve exception handling,Combination of refactorings,After discussion,Yes
47804,Improve exception handling,Combination of refactorings,Original intent,Yes
47797,Improve exception handling,Combination of refactorings,Original intent,Yes
47769,Improve exception handling,Combination of refactorings,After discussion,Yes
47617,Improve exception handling,Combination of refactorings,After discussion,Yes
47283,Improve exception handling,Combination of refactorings,Original intent,Yes
47615,Improve exception handling,Combination of refactorings,Original intent,Yes
47627,Improve exception handling,Combination of refactorings,After discussion,Yes
47653,Improve exception handling,Combination of refactorings,After discussion,Yes
47334,Improve exception handling,Combination of refactorings,Original intent,Yes
47401,Improve exception handling,Combination of refactorings,After discussion,Yes
47280,Improve exception handling,Combination of refactorings,After discussion,Yes
48082,Improve exception handling,Combination of refactorings,Original intent,Yes
47378,Improve exception handling,Combination of refactorings,After discussion,Yes
47700,Improve exception handling,EXTRACT_CLASS,Original intent,No
47700,Improve exception handling,EXTRACT_CLASS,After discussion,Yes
47663,Improve exception handling,EXTRACT_OPERATION,After discussion,Yes
47685,Improve exception handling,EXTRACT_OPERATION,Original intent,Yes
48047,Improve exception handling,EXTRACT_OPERATION,After discussion,No
47765,Improve exception handling,EXTRACT_VARIABLE,Collateral,Yes
47286,Improve exception handling,RENAME_CLASS,Original intent,No
47683,Improve extensibility,Combination of refactorings,Original intent,Yes
47775,Improve extensibility,Combination of refactorings,Original intent,No
47346,Improve extensibility,Combination of refactorings,Original intent,No
47338,Improve extensibility,Combination of refactorings,Original intent,No
47327,Improve extensibility,Combination of refactorings,Original intent,No
47591,Improve extensibility,Combination of refactorings,Original intent,Yes
48004,Improve extensibility,Combination of refactorings,Original intent,Yes
47280,Improve extensibility,Combination of refactorings,After discussion,Yes
48017,Improve extensibility,Combination of refactorings,Original intent,Yes
47746,Improve extensibility,EXTRACT_AND_MOVE_OPERATION,Original intent,Yes
47445,Improve extensibility,EXTRACT_AND_MOVE_OPERATION,After discussion,Yes
47665,Improve extensibility,EXTRACT_INTERFACE,After discussion,Yes
48013,Improve extensibility,EXTRACT_INTERFACE,Original intent,Yes
48053,Improve extensibility,EXTRACT_INTERFACE,Original intent,No
47290,Improve extensibility,EXTRACT_INTERFACE,Original intent,Yes
47776,Improve extensibility,EXTRACT_INTERFACE,Original intent,Yes
47273,Improve extensibility,EXTRACT_INTERFACE,Original intent,Yes
47695,Improve extensibility,EXTRACT_OPERATION,Original intent,Yes
47446,Improve extensibility,EXTRACT_OPERATION,Original intent,Yes
47739,Improve extensibility,EXTRACT_OPERATION,Original intent,No
47413,Improve extensibility,EXTRACT_OPERATION,Original intent,Yes
47486,Improve extensibility,EXTRACT_SUPERCLASS,Original intent,Yes
47743,Improve extensibility,PULL_UP_ATTRIBUTE,Original intent,Yes
47486,Improve extensibility,PULL_UP_OPERATION,Original intent,Yes
47361,Improve extensibility,RENAME_VARIABLE,Collateral,Yes
47803,Improve interface compliance,Combination of refactorings,After discussion,Yes
47683,Improve Maintainability,Combination of refactorings,Original intent,Yes
47557,Improve Maintainability,Combination of refactorings,Original intent,No
48031,Improve Maintainability,Combination of refactorings,Original intent,Yes
47576,Improve Maintainability,Combination of refactorings,Original intent,Yes
47794,Improve Maintainability,Combination of refactorings,Original intent,Yes
47283,Improve Maintainability,Combination of refactorings,Original intent,Yes
47660,Improve Maintainability,Combination of refactorings,After discussion,Yes
47672,Improve Maintainability,Combination of refactorings,Original intent,No
47329,Improve Maintainability,Combination of refactorings,After discussion,Yes
47785,Improve Maintainability,Combination of refactorings,Original intent,Yes
47529,Improve Maintainability,Combination of refactorings,Original intent,Yes
48074,Improve Maintainability,Combination of refactorings,After discussion,Yes
47295,Improve Maintainability,Combination of refactorings,Original intent,Yes
47665,Improve Maintainability,EXTRACT_INTERFACE,After discussion,Yes
47665,Improve Maintainability,EXTRACT_INTERFACE,After discussion,No
48013,Improve Maintainability,EXTRACT_INTERFACE,Original intent,No
47664,Improve Maintainability,EXTRACT_OPERATION,Original intent,Yes
47348,Improve Maintainability,EXTRACT_OPERATION,After discussion,Yes
48033,Improve Maintainability,EXTRACT_OPERATION,After discussion,Yes
48060,Improve Maintainability,EXTRACT_OPERATION,Original intent,No
47291,Improve Maintainability,EXTRACT_SUPERCLASS,Original intent,Yes
47400,Improve Maintainability,EXTRACT_SUPERCLASS,After discussion,Yes
47638,Improve Maintainability,EXTRACT_VARIABLE,Collateral,Yes
47665,Improve Maintainability,MOVE_ATTRIBUTE,Original intent,Yes
47665,Improve Maintainability,MOVE_ATTRIBUTE,After discussion,No
47665,Improve Maintainability,RENAME_CLASS,After discussion,No
47703,Improve modularization,Combination of refactorings,After discussion,Yes
47326,Improve modularization,Combination of refactorings,Original intent,No
47716,Improve modularization,Combination of refactorings,Original intent,Yes
47569,Improve modularization,EXTRACT_AND_MOVE_OPERATION,Original intent,No
48062,Improve modularization,EXTRACT_OPERATION,After discussion,Yes
48045,Improve modularization,EXTRACT_OPERATION,After discussion,Yes
47600,Improve modularization,MOVE_CLASS,After discussion,Yes
47579,Improve modularization,MOVE_CLASS,After discussion,No
